Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SMB1422U,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,14/2/2023,00:00.0,14/2/2023,5/12/2030,1855,0,1527.80247,2,4,701222,850720914,71172890,24633209,10.84109589,6.069863014,Scheduled - Future,814,713,866554,66,5
SMB1422U,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,14/2/2023,00:00.0,14/2/2023,27/11/2030,1841,0,1673.665732,2,4,701222,850720914,71172890,24633209,10.84109589,6.089041096,Scheduled - Future,814,858.5,866554,66,5
SMB1425L,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,18/12/2024,00:00.0,18/12/2024,11/5/2029,2004,0,1502.225088,2,9,841141,859830316,76568440,27150478,10.84109589,6.792694064,Scheduled - Future,2145,692.3333333,875498,35,3
SMB1425L,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,24/6/2019,00:00.0,24/6/2019,17/12/2027,,0,1999.879784,1,4,,859830316,76568440,27150478,10.84109589,4.961643836,Overdue - Action Required,2145,-146,875498,35,3
SMB1427G,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,3/2/2023,00:00.0,3/2/2023,10/11/2030,1775,0,1520.798662,2,4,636940,826787736,94117820,48952200,10.83561644,6.143835616,Scheduled - Future,825,695,841460,39,5
SMB1427G,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,8/2/2023,00:00.0,8/2/2023,16/11/2030,1782,0,1671.285445,2,4,636940,826787736,94117820,48952200,10.83561644,6.147945205,Scheduled - Future,820,850,841460,39,5
SMB1428D,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,27/4/2023,00:00.0,27/4/2023,12/2/2028,1861,0,1526.247176,2,4,658960,774325564,64405680,30621867,10.83561644,6.253424658,Scheduled - Future,742,783,785473,48,0
SMB1428D,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,2/8/2023,00:00.0,2/8/2023,19/5/2028,1958,0,1676.247176,2,4,676286,774325564,64405680,30621867,10.83561644,6.38630137,Scheduled - Future,645,1030,785473,48,0
SMB1431T,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,15/6/2019,,15/6/2019,4/1/2027,,0,1664.232025,1,1,398255,775796837,75672500,39900023,10.79726027,4.895890411,Overdue - Action Required,2154,-491,786116,29,5
SMB1431T,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,17/6/2019,00:00.0,17/6/2019,7/3/2027,,0,1725.300153,1,4,398255,775796837,75672500,39900023,10.79726027,4.898630137,Overdue - Action Required,2152,-428,786116,29,5
SMB1432R,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,6/6/2023,00:00.0,6/6/2023,16/5/2030,1507,0,1370.275906,2,4,743400,879348583,77485780,29829484,10.79726027,6.809589041,Scheduled - Future,702,667,796798,47,7
SMB1432R,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,27/8/2023,00:00.0,27/8/2023,13/1/2028,1590,0,1600,2,4,759683,879348583,77485780,29829484,10.79726027,6.920547945,Scheduled - Future,620,979,796798,47,7
SMB1433M,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,21/9/2021,00:00.0,21/9/2021,10/11/2025,1343,0,1405.618033,2,4,584107,792136239,54654700,23683257,10.79726027,5.32739726,Scheduled - Future,1325,79.5,801990,47,8
